M1419 Base, 45.03 Ibs, with 0 MPH Crosswind.CSV,14454.81,22.630513,6.430142999999999,927.116321652192,5233.272
M1419 Base, 45.03 Ibs, with 12 MPH Crosswind.CSV,14228.09,22.390513,6.590152999999999,918.7505,5196.602
M1419 Base, 45.03 Ibs, with 16 MPH Crosswind.CSV,14060.06,22.190503,6.720153,912.2167,5167.618
M1419 Base, 45.03 Ibs, with 20 MPH Crosswind.CSV,13845.89,21.950502999999998,6.890153,903.794,5130.215
M1419 Base, 45.03 Ibs, with 4 MPH Crosswind.CSV,14419.88,22.580513000000003,6.450143000000001,926.1978,5229.568
M1419 Base, 45.03 Ibs, with 8 MPH Crosswind.CSV,14348.31,22.540512999999997,6.500152999999999,923.4042,5217.215
M1419 Base, 47.03 Ibs, with 0 MPH Crosswind.CSV,13738.97,22.140503000000002,7.240162999999999,887.972295650274,4986.478
M1419 Base, 47.03 Ibs, with 12 MPH Crosswind.CSV,13516.36,21.920502999999997,7.430173,879.6191,4950.113
M1419 Base, 47.03 Ibs, with 16 MPH Crosswind.CSV,13350.92,21.710493,7.580173,873.0985,4921.422
M1419 Base, 47.03 Ibs, with 20 MPH Crosswind.CSV,13140.14,21.470492999999998,7.780173,864.6943,4884.398
M1419 Base, 47.03 Ibs, with 4 MPH Crosswind.CSV,13705.08,22.090503,7.260163,887.0454,4982.719
M1419 Base, 47.03 Ibs, with 8 MPH Crosswind.CSV,13634.68,22.060502999999997,7.320162999999999,884.2627,4970.511
M1419 Base, 49.03 Ibs, with 0 MPH Crosswind.CSV,13038.31,21.630493,8.140182999999999,850.49335313208,4756.518
M1419 Base, 49.03 Ibs, with 12 MPH Crosswind.CSV,12822.77,21.400492999999997,8.360193,842.2514,4720.893
M1419 Base, 49.03 Ibs, with 16 MPH Crosswind.CSV,12662.25,21.210482999999996,8.550192999999998,835.8292,4692.869
M1419 Base, 49.03 Ibs, with 20 MPH Crosswind.CSV,12457.69,20.950483,8.800203000000002,827.5492,4656.676
M1419 Base, 49.03 Ibs, with 4 MPH Crosswind.CSV,13005.7,21.590493000000002,8.170183,849.5709,4752.781
M1419 Base, 49.03 Ibs, with 8 MPH Crosswind.CSV,12937.49,21.530493,8.240183,846.8278,4740.83
M1419 Base, 51.03 Ibs, with 0 MPH Crosswind.CSV,12357.35,21.110483000000002,9.170212999999999,814.668717712737,4541.934
M1419 Base, 51.03 Ibs, with 12 MPH Crosswind.CSV,12146.88,20.870472999999997,9.450213,806.4496,4506.645
