Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,44,0,0,71.26,84.50576,2.1468,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.2973822,0,78.42447,44,0,0,71.24142,84.50576,2.149811,25.1721110880455,25.1721110878465,0.00010008784334227,0.25172110000199,0.2517211,0.000001000878,89.9999,89.9999,0.001258606,0.00000000500439
0.02,S,0.02,0.010,0,0.2973822,0,156.8489,43.99816,0.000003653013,0,71.22285,84.50576,2.152822,82.5230203013164,82.5230203010736,0.000200184057955848,1.07695100000419,1.076951,0.000003002719,89.9999,89.9999,0.007901966,0.00000002502238
0.03,S,0.03,0.010,0,0.2973822,0,235.2734,43.99263,0.00006686574,0,71.20427,84.50576,2.155833,139.893074023235,139.893074022913,0.000300313687110186,2.47588200000728,2.475882,0.000006005856,89.9999,89.9999,0.02566613,0.00000007006525
0.04,S,0.04,0.010,0,0.2973822,0,313.6979,43.98343,0.0003534039,0,71.18569,84.50576,2.158844,197.296621154858,197.296621154451,0.000400501774388022,4.44884800001126,4.448848,0.00001001087,89.9999,89.9999,0.06028978,0.0000001501489
0.05,S,0.05,0.010,0,0.2973821,0,392.1223,43.97054,0.001141053,0,71.16711,84.50576,2.161855,254.747834307061,254.747834306569,0.000500773055635235,6.99632600001612,6.996326,0.0000150186,89.9999,89.9999,0.1175156,0.0000002752962
0.05999999,S,0.05999999,0.010,0,0.2973821,0,470.5468,43.95396,0.002821955,0,71.14854,84.50576,2.164866,312.260965072203,312.260965071624,0.000601152399699858,10.1189400000219,10.11894,0.00002103012,89.9999,89.9999,0.203092,0.0000004555398
0.06999999,S,0.06999999,0.010,0,0.2973819,0,548.9712,43.9337,0.005903081,0,71.12996,84.50576,2.167876,369.850170063164,369.850170062498,0.000701664524331411,13.8174400000285,13.81744,0.00002804676,89.9999,89.9999,0.3227739,0.0000007009243
0.07999999,S,0.07999999,0.01191438,0,0.3052751,0,549.8245,43.90976,0.01129898,0,71.11138,84.50576,2.170887,370.690673568124,370.690673567457,0.000703131479353716,17.5243500000351,17.52435,0.00003507808,89.9999,89.9999,0.4794828,0.000001016548
0.08999999,S,0.08999999,0.01511075,0,0.3119771,0,550.6777,43.88396,0.01857363,0,71.0928,84.50576,2.173898,371.547740811459,371.547740810791,0.000704627341780978,21.2398300000418,21.23983,0.00004212435,89.9999,89.9999,0.6733037,0.000001402561
0.09999999,S,0.09999999,0.01831452,0,0.3142871,0,551.531,43.85811,0.0274863,0,71.07423,84.50576,2.176909,372.405081170551,372.405081169882,0.000706123686085604,24.9638800000485,24.96388,0.00004918559,89.9999,89.9999,0.9043223,0.00000185911
0.11,S,0.11,0.02152568,0,0.3144269,0,552.3842,43.83223,0.03798641,0,71.05566,84.50576,2.17992,373.262544577982,373.262544577311,0.000707620240505884,28.6965100000552,28.69651,0.00005626179,89.9999,89.9999,1.172624,0.000002386347
0.12,S,0.12,0.02474425,0,0.313449,0,553.2375,43.8063,0.05003867,0,71.03708,84.50576,2.182931,374.120317166512,374.12031716584,0.000709117334839668,32.4377100000619,32.43771,0.00006335296,89.9999,89.9999,1.478295,0.000002984421
0.13,S,0.13,0.02797021,0,0.3118836,0,554.0907,43.78034,0.06361644,0,71.0185,84.50576,2.185942,374.978296173789,374.978296173116,0.000710614789706733,36.1874900000686,36.18749,0.00007045911,89.9999,89.9999,1.821421,0.000003653481
0.14,S,0.14,0.03120358,0,0.3100134,0,554.9439,43.75434,0.07869896,0,70.99992,84.50576,2.188953,375.836580131014,375.836580130339,0.000712112777103545,39.9458500000753,39.94585,0.00007758023,89.9999,89.9999,2.202088,0.000004393678
0.15,S,0.15,0.03444437,0,0.3079962,0,555.7972,43.72829,0.09526976,0,70.98135,84.50576,2.191964,376.695193224686,376.69519322401,0.000713611339217396,43.7128000000821,43.7128,0.00008471635,89.9999,89.9999,2.620381,0.000005205161
0.16,S,0.16,0.03769257,0,0.3059224,0,556.6504,43.70221,0.1133155,0,70.96277,84.50576,2.194974,377.554127384084,377.554127383407,0.000715110466917608,47.4883400000889,47.48834,0.00009186745,89.9999,89.9999,3.076387,0.00000608808
0.17,S,0.17,0.04094819,0,0.3038452,0,557.5037,43.67609,0.1328253,0,70.94419,84.50576,2.197985,378.413348031299,378.41334803062,0.000716610085043404,51.2724700000956,51.27247,0.00009903355,89.9999,89.9999,3.570191,0.000007042585
0.18,S,0.18,0.04421124,0,0.3017957,0,558.3569,43.64992,0.1537903,0,70.92561,84.50576,2.200996,379.272910203925,379.272910203245,0.000718110304465469,55.0652000001024,55.0652,0.0001062146,89.9999,89.9999,4.101879,0.000008068826
0.19,S,0.19,0.04748172,0,0.299792,0,559.2101,43.62372,0.1762036,0,70.90704,84.50576,2.204007,380.132842721096,380.132842720415,0.00071961117052824,58.8665300001092,58.86653,0.0001134107,89.9999,89.9999,4.671538,0.000009166953
0.2,S,0.2,0.05075963,0,0.2989457,0,560.0634,43.59747,0.200799,0,70.88846,84.50576,2.207018,380.992553203652,380.99255320297,0.000721111649362275,62.6764600001161,62.67646,0.0001206218,89.9999,89.9999,5.279253,0.00001033711
0.21,S,0.21,0.05404498,0,0.2988258,0,560.9166,43.57119,0.2275364,0,70.86988,84.50576,2.210029,381.852081965428,381.852081964744,0.000722611811302286,66.4949800001229,66.49498,0.0001278479,89.9999,89.9999,5.92511,0.00001157946
0.22,S,0.22,0.05733775,0,0.2986183,0,561.8664,43.54486,0.2559228,0,70.8513,84.50576,2.21304,382.783186788567,382.783186787882,0.000724236892381964,70.3228100001298,70.32281,0.0001350903,89.9999,89.9999,6.6092,0.00001289415
0.23,S,0.23,0.06063857,0,0.2983434,0,562.827,43.5185,0.285966,0,70.83273,84.50576,2.216051,383.722571727736,383.722571727049,0.000725876430229346,74.1600300001366,74.16003,0.0001423491,89.9999,89.9999,7.331614,0.00001428135
0.24,S,0.24,0.06394751,0,0.2980169,0,563.7875,43.49209,0.31767,0,70.81415,84.50576,2.219062,384.662271379181,384.662271378493,0.000727516517650135,78.0066500001435,78.00665,0.0001496243,89.9999,89.9999,8.092447,0.00001574122
0.25,S,0.25,0.06726459,0,0.2976508,0,564.748,43.46563,0.351039,0,70.79557,84.50576,2.222073,385.60228040089,385.602280400201,0.00072915714041981,81.8626800001504,81.86268,0.0001569159,89.9999,89.9999,8.891794,0.00001727392
0.26,S,0.26,0.07058979,0,0.2972542,0,565.7086,43.43913,0.3860769,0,70.77699,84.50576,2.225083,386.542684148746,386.542684148055,0.000730798457366665,85.7281000001573,85.7281,0.0001642239,89.9999,89.9999,9.729748,0.00001887962
0.27,S,0.27,0.07392312,0,0.2968347,0,566.6692,43.41258,0.4227886,0,70.75842,84.50576,2.228094,387.483406088182,387.48340608749,0.00073244032502685,89.6029400001642,89.60294,0.0001715483,89.9999,89.9999,10.6064,0.00002055848
0.28,S,0.28,0.0772646,0,0.2963979,0,567.6297,43.38599,0.4611794,0,70.73984,84.50576,2.231105,388.424434812886,388.424434812192,0.000734082728448264,93.4871900001712,93.48719,0.0001788891,89.9999,89.9999,11.52185,0.00002231067
0.29,S,0.29,0.08061422,0,0.2959486,0,568.5903,43.35935,0.5012543,0,70.72127,84.50576,2.234116,389.365860641709,389.365860641014,0.000735725825267622,97.3808500001781,97.38085,0.0001862464,89.9999,89.9999,12.47619,0.00002413634
0.3,S,0.3,0.08397199,0,0.2954903,0,569.5508,43.33267,0.5430186,0,70.70269,84.50576,2.237127,390.307635205174,390.307635204477,0.000737369536008264,101.283900000185,101.2839,0.0001936201,89.9999,89.9999,13.46952,0.00002603568
0.31,S,0.31,0.0873379,0,0.295026,0,570.5114,43.30595,0.5864779,0,70.68411,84.50576,2.240138,391.249726152924,391.249726152226,0.000739013794298084,105.196400000192,105.1964,0.0002010102,89.9999,89.9999,14.50192,0.00002800883
0.32,S,0.32,0.09071199,0,0.294558,0,571.4719,43.27917,0.6316392,0,70.66553,84.50576,2.243149,392.192121105107,392.192121104408,0.000740658583497997,109.118300000199,109.1183,0.0002084168,89.9999,89.9999,15.57349,0.00003005596
0.33,S,0.33,0.09409419,0,0.2940884,0,572.4325,43.25236,0.6785075,0,70.64696,84.50576,2.24616,393.134910698251,393.13491069755,0.000742304061799174,113.049700000206,113.0497,0.0002158398,89.9999,89.9999,16.68433,0.00003217725
0.3399999,S,0.3399999,0.09748464,0,0.2936186,0,573.3931,43.22549,0.7270905,0,70.62838,84.50576,2.249171,394.07804744928,394.078047448578,0.000743950146328624,116.990500000213,116.9905,0.0002232793,89.9999,89.9999,17.83453,0.00003437284
0.3499999,S,0.3499999,0.1008832,0,0.2931498,0,574.3536,43.19859,0.7773935,0,70.6098,84.50576,2.252181,395.015618094505,395.015618093661,0.000816384669387968,120.940656092865,120.940656092644,0.000231443146511403,89.99989,89.99989,19.04394,0.00003664646
0.3599999,S,0.3599999,0.1042899,0,0.2926831,0,575.1456,43.17163,0.8294225,0,70.59122,84.50576,2.255192,395.833107736807,395.833107735957,0.000820125284755764,124.898987081758,124.898987081528,0.000239644399175648,89.99989,89.99989,20.29293,0.00003900189
0.3699999,S,0.3699999,0.1077037,0,0.2922193,0,575.8654,43.14464,0.8831671,0,70.57265,84.50576,2.258203,396.59691346118,396.596913460325,0.000823707435826479,128.864956127723,128.864956127485,0.0002478814733498,89.99989,89.99989,21.58158,0.00004143952
0.3799999,S,0.3799999,0.1111242,0,0.2917593,0,576.5851,43.11761,0.9386265,0,70.55407,84.50576,2.261214,397.360643686335,397.360643685474,0.000827237093893484,132.83856247577,132.838562475523,0.000256153844103833,89.99989,89.99989,22.90997,0.0000439597
0.3899999,S,0.3899999,0.1145512,0,0.2913035,0,577.3049,43.09055,0.9958044,0,70.53549,84.50576,2.264225,398.124477226211,398.124477225344,0.000830717063232171,136.819807159045,136.819807158789,0.000264461014550475,89.99989,89.99989,24.27816,0.00004656277
0.3999999,S,0.3999999,0.1179849,0,0.2908522,0,578.0246,43.06345,1.054706,0,70.51691,84.50576,2.267236,398.888275003298,398.888275002426,0.000834150269383897,140.808689819919,140.808689819655,0.000272802517057867,89.99989,89.99989,25.68625,0.00004924909
0.4099999,S,0.4099999,0.1214252,0,0.2904059,0,578.7443,43.03632,1.115337,0,70.49834,84.50576,2.270247,399.652068806743,399.652068805865,0.000837539274092128,144.805210418657,144.805210418384,0.000281177909611584,89.99989,89.99989,27.1343,0.00005201899
0.4199999,S,0.4199999,0.1248721,0,0.2899647,0,579.4641,43.00916,1.177701,0,70.47976,84.50576,2.273257,400.415938109405,400.415938108522,0.00084088654815086,148.809369710251,148.809369709969,0.00028958677490514,89.99989,89.99989,28.6224,0.00005487282
0.4299999,S,0.4299999,0.1283257,0,0.2895289,0,580.1838,42.98196,1.241805,0,70.46118,84.50576,2.276268,401.179727939206,401.179727938318,0.000844193986340765,152.821166899973,152.821166899682,0.000298028714579856,89.99989,89.99989,30.15061,0.0000578109
0.4399998,S,0.4399998,0.131786,0,0.2890985,0,580.9036,42.95472,1.307653,0,70.4426,84.50576,2.279279,401.943557505438,401.943557504545,0.00084746381692391,156.840602385186,156.840602384886,0.000306503352559672,89.99989,89.99989,31.71901,0.00006083356
0.4499998,S,0.4499998,0.1352528,0,0.28867,0,581.6234,42.92746,1.375235,0,70.42403,84.50576,2.28229,402.707442702673,402.707442701774,0.000850697692149042,160.8676767222,160.867676721892,0.000315010329291017,89.99989,89.99989,33.32769,0.00006394112
0.4599998,S,0.4599998,0.1387263,0,0.2882507,0,582.3431,42.90015,1.444587,0,70.40545,84.50576,2.285301,403.471272268905,403.471272268001,0.00085389747648034,164.902389354706,164.902389354389,0.000323549303864959,89.99989,89.99989,34.97672,0.00006713392
0.4699998,S,0.4699998,0.1422064,0,0.287837,0,583.0629,42.87282,1.515701,0,70.38688,84.50576,2.288312,404.235141571567,404.235141570658,0.000857064670584097,168.944740680068,168.944740679742,0.000332119950379231,89.99989,89.99989,36.66616,0.00007041226
0.4799998,S,0.4799998,0.1456932,0,0.2874289,0,583.7826,42.84546,1.588581,0,70.3683,84.50576,2.291323,404.998907559509,404.998907558596,0.000860200775126602,172.99472966514,172.994729664804,0.000340721957938227,89.99989,89.99989,38.39611,0.00007377647
0.4899998,S,0.4899998,0.1491867,0,0.2870263,0,584.5023,42.81805,1.663233,0,70.34972,84.50576,2.294334,405.762641758306,405.762641757388,0.000863307139191695,177.052355992028,177.052355991683,0.00034935502913718,89.99989,89.99989,40.16663,0.00007722685
0.4999998,S,0.4999998,0.1526867,0,0.2866293,0,585.1497,42.79062,1.739663,0,70.33115,84.50576,2.297345,406.472064203571,406.472064202648,0.000866277927910214,181.11707654321,181.117076542856,0.000358017808222654,89.99989,89.99989,41.97781,0.00008076372
0.5099998,S,0.5099998,0.156193,0,0.2862379,0,585.7247,42.76315,1.817866,0,70.31257,84.50576,2.300355,407.126936476718,407.12693647579,0.000869113095807422,185.188345816977,185.188345816614,0.000366708938986466,89.99989,89.99989,43.82969,0.00008438735
0.5199998,S,0.5199998,0.159705,0,0.285852,0,586.2997,42.73565,1.897837,0,70.29399,84.50576,2.303366,407.781538542134,407.781538541202,0.00087192132750261,189.266161111252,189.26616111088,0.000375428152066602,89.99989,89.99989,45.72235,0.00008809804
0.5299998,S,0.5299998,0.1632226,0,0.2854715,0,586.8748,42.70813,1.97958,0,70.27541,84.50576,2.306377,408.436045240118,408.436045239181,0.000874703456699274,193.350521472361,193.350521471979,0.000384175186438083,89.99989,89.99989,47.65586,0.00009189605
0.5399998,S,0.5399998,0.166746,0,0.2850964,0,587.4497,42.68058,2.063099,0,70.25684,84.50576,2.309388,409.090146626508,409.090146625567,0.000877460483841607,197.441422847187,197.441422846796,0.000392949791080371,89.99989,89.99989,49.63027,0.00009578167
0.5499998,S,0.5499998,0.1702751,0,0.2847266,0,588.0247,42.653,2.148398,0,70.23826,84.50576,2.312399,409.744176487322,409.744176486377,0.00088019359127275,201.538864520475,201.538864520075,0.00040175172679636,89.99989,89.99989,51.64566,0.00009975518
0.5599998,S,0.5599998,0.1738099,0,0.2843621,0,588.5997,42.6254,2.235483,0,70.21968,84.50576,2.31541,410.39784872026,410.39784871931,0.00088290356722146,205.642842915947,205.642842915537,0.00041058076227123,89.99989,89.99989,53.70209,0.0001038168
0.5699998,S,0.5699998,0.1773504,0,0.2840027,0,589.1747,42.59777,2.32436,0,70.2011,84.50576,2.318421,411.051465322195,411.051465321241,0.000885591366657197,209.753357477291,209.753357476872,0.000419436675739857,89.99989,89.99989,55.79962,0.0001079669
0.5799997,S,0.5799997,0.1808966,0,0.2836483,0,589.7498,42.57011,2.41503,0,70.18253,84.50576,2.321432,411.704748138111,411.704748137153,0.000888257626226265,213.870404866649,213.87040486622,0.000428319251803579,89.99989,89.99989,57.93832,0.0001122057
0.5899997,S,0.5899997,0.1844485,0,0.2832989,0,590.3247,42.54243,2.507502,0,70.16395,84.50576,2.324443,412.357728957154,412.357728956192,0.000890903164473914,217.993982064051,217.993982063613,0.000437228283249186,89.99989,89.99989,60.11826,0.0001165335
0.5999997,S,0.5999997,0.1880061,0,0.2829543,0,590.8997,42.51472,2.601778,0,70.14537,84.50576,2.327453,413.010630303336,413.010630302369,0.000893528830261886,222.12408827477,222.124088274322,0.000446163571352086,89.99989,89.99989,62.3395,0.0001209504
